상품ID,상품명,기존ID,기존카테고리,추천ID,추천카테고리,상태
13236021787,31P 휴대용 멀티 드라이버 공구 세트 DD-11131,,생활/건강>공구>수작업공구>드라이버,50002668,드라이버,Fixed (Phase2)
13236021583,휴대용 멀티 미니 드라이버 공구 16 세트 DD-11132,,생활/건강>공구>수작업공구>드라이버,50003387,공구세트,Fixed (Phase2)
13236021382,작업용 정밀 미니 드라이버 공구 115 세트 DD-11133,,생활/건강>공구>수작업공구>드라이버,50003387,공구세트,Fixed (Phase2)
13236020975,플유 볼펜 꾸미기 세트 한박스 12개입 볼꾸 동대문 펜꾸 꾸미기 재료 비즈볼,,생활/건강>문구/사무용품>필기도구>볼펜,1311190000.0,완구/취미 > 만들기/DIY > 비즈공예,Mismatch
13236018782,물방울 핑거퍼프 2개입 미니 메이크업 스펀지 잡티 커버 도구 세트,,화장품/미용>색조메이크업>색조메이크업세트,50000401,색조메이크업세트,Fixed (Phase2)
13236017737,다용도 3종 미니 와이어브러시 세트 스틸 구리 나일론 녹제거 솔,,생활/건강>공구>수작업공구>기타수작업공구,50000244.0,화장품/미용 > 뷰티소품 > 메이크업브러쉬,Mismatch
13236016892,인테리어 가드닝 물뿌리개 1L 화분 물주기 원예용 물통,,생활/건강>정원/원예용품>물조리개,50001794,물조리개,Fixed (Phase2)
13236016137,자석 십자 일자 드라이버 세트 다용도 수공구 나사 조립 공구 2종,,생활/건강>공구>수작업공구>드라이버,50002668,드라이버,Fixed (Phase2)
13236015898,식물 관수용 새 모양 자동 물주기 화분 급수 장치 인테리어 소품,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13236015683,벚꽃 노트북 핸드폰 꾸미기 다꾸 플라워 조각스티커 세트 27P,,생활/건강>문구/사무용품>스티커>다꾸스티커,50004598,홈버튼스티커,Fixed (Phase2)
13236015248,벚꽃 노트북 핸드폰 꾸미기 다꾸 플라워 조각스티커 세트 30P,,생활/건강>문구/사무용품>스티커>다꾸스티커,50004598,홈버튼스티커,Fixed (Phase2)
13231086337,좁은 공간 다목적 라쳇 드라이버 세트 자동차 정비 비트 소켓 공구함,,생활/건강>공구>수작업공구>드라이버,50002668,드라이버,Fixed (Phase2)
13231085024,정밀 핀셋 세트 6PCS 정전기방지 네일 비즈공예 수리 쪽집게 BD876,,생활/건강>공구>수작업공구>기타수작업공구,50003404,기타수작업공구,Fixed (Phase2)
13231083964,분갈이 매트 원예용 화분 다용도 매트 (중형),,생활/건강>정원/원예용품>자갈/모래/흙,50004843,기타주방잡화,Fixed (Phase2)
13231081573,그레이 식물 화분 재배 부직포 베란다 중형,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13227183010,Prokit(SD-9815) 드라이버 세트(6PCS) 정밀 십자 일자 T0779,,생활/건강>공구>전동공구>기타전동공구,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13227182311,정밀 핀셋 세트 9PCS 정전기방지 네일 비즈공예 수리 쪽집게 BD852,,생활/건강>공구>수작업공구>기타수작업공구,50003402,핀셋,Fixed (Phase2)
13227181752,드라이버 세트 비트 수납형 십자 일자 정밀 회전 헤드 멀티 공구 BF228,,생활/건강>공구>전동공구>기타전동공구,50003417,기타전동공구,Fixed (Phase2)
13227180917,Prokit(SD-9826) 전기작업용 스크류 드라이버 세트 PK298,,생활/건강>공구>전동공구>기타전동공구,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13227180746,방울토마토 씨앗심기 씨드볼 미니화분 흙 패키지,,생활/건강>원예/식물>미니화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13227178630,식물영양제 화분 원예 뿌리활력제 1박스(20개) -PP205,,패션의류>여성의류>원피스,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223036158,PP-5202 미니어처 화분 장식 테라리움 재료 토끼 12종세트 꾸미기 식물 데코,,가구/인테리어>인테리어소품>기타장식용품,50000968,기타장식용품,Fixed (Phase2)
13223033535,선반 브라켓 창틀 수납 화분 다용도 멀티 베란다 받침대,,생활/건강>수납/정리용품>선반/진열대>스탠드선반/진열대,50005260,스탠드선반/진열대,Fixed (Phase2)
13223033369,화분 다용도 수납 선반 브라켓 창틀 베란다 멀티 1+1,,생활/건강>수납/정리용품>선반/진열대>스탠드선반/진열대,50005260,스탠드선반/진열대,Fixed (Phase2)
13223033155,화분부직포 5P 4호 H30cm D40cm,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223029187,화분 선인장화분 사각 다육이 소형화분 작은화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223027076,원형 식물 화분 지지대,,생활/건강>정원/원예용품>원예부자재,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223026906,원예용 방수 화분 분갈이 매트 100x100cm,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13223025684,봄꽃화분 18x18x18cm 화분 도기 선인장화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223025521,30x35 화분 수지 선인장화분 작은꽃화분 원통,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223025352,화분 선인장화분 사무실화분 33x26cm 포트,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223025156,화산석 화분 선인장화분 20x12cm 튼튼한화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223024968,선인장화분 사무실화분 화분 23x23x32 수지,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223024798,스텐드 도자기꽃화분 2구 화분 선인장화분 우드,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223024629,베란다화분 화분 선인장화분 29x50cm 롱팟,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223024456,화이트 그래니트 화분 분재 다육이화분 선인장화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223024297,23x23 화분 수지 오각 선인장화분 긴화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223024103,화분 선인장화분 스텐드 도자기꽃화분 우드 3구,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223021778,전동드릴용 철브러쉬 5p 세트 녹제거 드릴 브러쉬,,생활/건강>청소용품>솔,50000828,러닝/캐미솔,Fixed (Phase2)
13223021324,자동급수 저면관수 화분 자동물주기 13x14cm,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223021168,자동급수 저면관수 화분 자동물주기 11x12cm,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223021007,화분 식물고정클립 식물 고정 지지대 (50P),,생활/건강>정원/원예용품>자갈/모래/흙,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223020663,자동급수 저면관수 화분 자동물주기 16.6x17cm,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13223020153,마더보드 청소용 브러쉬 세트 불순물 제거 PCB IK027,,디지털/가전>PC액세서리>클리너,50001577,클리너,Fixed (Phase2)
13223019978,핀셋 세트(8pcs) 정밀 핀셋 정전기 방지 네일아트 비즈공예 쪽집게 ID670,,생활/건강>공구>수작업공구>기타수작업공구,50003402,핀셋,Fixed (Phase2)
13223019172,세안 헤어밴드 귀여운 극세사 리본 세트,,패션잡화>헤어액세서리>헤어밴드,50000560,헤어밴드,Fixed (Phase2)
13223018646,식물이름표 수목명찰 나무팻말 하트 라벨 네임택 꽃 화분,,생활/건강>정원/원예용품>원예부자재,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223018455,FEJKA 페이카 인조 다육 식물 다육이 화분 인테리어 6cm 3개 소품 미니,,생활/건강>수납/정리용품>선반/진열대>코너선반/진열대,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223017759,원형화분 DAIDAI 다이다이 화분 원예 미니화분 황동색 9cm 거실화분 인테리어,,생활/건강>수납/정리용품>선반/진열대>코너선반/진열대,50002465,코너선반/진열대,Fixed (Phase2)
13223017586,일자형 묘목 식물 지지대 45cm 10개 작물 화분 화초 지주대 텃밭 식물지지대 원예,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13223017431,원형 울타리 식물 지지대 45X35 꽃 넝쿨 화분 화초 지주대 원예 작물 텃밭,,생활/건강>정원/원예용품>화분받침,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223017259,원형 울타리 식물 지지대 텃밭 45X18 넝쿨 화분 화초 꽃 지주대 원예 작물,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13223017070,원형 울타리 넝쿨 식물 지지대 30X28 화분 화초 꽃 지주대 원예 작물 텃밭,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13223016860,식물 꽃 줄기 고정 지지대 37cm 5개 화분 화초 넝쿨 지주대 텃밭 작물 묘목 식물지지대 원예,,생활/건강>정원/원예용품>화분받침,50001790,미니화분,Fixed (Phase2)
13223016591,식물 꽃 줄기 고정 작물 지주대 지지대 27cm 5개 화분 텃밭 화초 넝쿨 묘목 식물지지대 원예,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13223016347,수세미 스카치브라이트 변기용 청소솔 브러쉬 세트 변기청소 바닥청소 화장실 브러시 청소용품 청소,,스포츠/레저>자전거>자전거용품>세척제,50000244.0,화장품/미용 > 뷰티소품 > 메이크업브러쉬,Mismatch
13223016091,T형 화분 식물 나무 이름표 네임텍중형10개 다육식물 36cm 라벨 모종이름 화단 정원 농장,,생활/건강>문구/사무용품>문구용품>기타문구용품,50001800,조경수/묘목,Fixed (Phase2)
13223015849,집모양 꽂이형 화분 이름표 네임텍 10개 라벨 모종이름 다육식물 화단 정원 농장,,생활/건강>문구/사무용품>문구용품>기타문구용품,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223015591,미니 하트 꽂이형 화분 이름표 네임텍 20개 라벨 화단 모종이름 다육식물 정원 농장,,생활/건강>문구/사무용품>문구용품>기타문구용품,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223015362,꽃 미니 칼라 화분 받침대 모종 화분컵 사각 20칸 다육이 세트 다육이화분 관찰화분 미니화분 식물,,생활/건강>수납/정리용품>선반/진열대>코너선반/진열대,50002465,코너선반/진열대,Fixed (Phase2)
13223015199,미니 관찰화분 칼라 화분 받침대 화분컵 사각 12칸 세트 모종 다육이 꽃 미니화분 식물,,생활/건강>수납/정리용품>선반/진열대>코너선반/진열대,50002465,코너선반/진열대,Fixed (Phase2)
13223015018,칼라 꽂이형 화분 이름표 식물 네임택 정원 20개 라벨 모종이름 다육식물 화단 농장,,생활/건강>문구/사무용품>문구용품>기타문구용품,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13223014611,미니 관리 원예 도구 3P 세트 화분 정원 다육이 텃밭,,생활/건강>정원/원예용품>정원데코,50001798,정원데코,Fixed (Phase2)
13223014055,자석 드라이버 15종 세트 공구 수리 소형 미니 가정,,생활/건강>공구>수작업공구>드라이버,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13223013522,스크류 구르프 머리 2P 세트 헤어 스타일 셋팅 소품,,패션잡화>헤어액세서리>헤어밴드,50000560,헤어밴드,Fixed (Phase2)
13223012540,텀블러 용기 청소솔 2P 브러쉬 미니솔 세트 세척 틈새솔 틈새청소 청소,,출산/육아>소독/살균용품>젖병솔,50008472,바디브러시,Fixed (Phase2)
13223012294,원형 화분 원화분 15치 블루베리 텃밭 미니,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13217763347,여성 노트북 가방 숄더백 토끼키링 증정 대학생 여자 서류 파우치 맥북 그램 갤럭시북,,패션잡화>여성가방>숄더백,50001580,노트북가방/케이스,Fixed (Phase2)
13217762096,빈티지 블루 체크 포장 재료 세트 선물 포장지 생일 축하 포장재 포장끈 스티커,,생활/건강>공구>포장용품>리본,50001066,데코스티커,Fixed (Phase2)
13217761698,크리스마스 친구들 별상자 선물 캔디 초콜릿 성탄절,,생활/건강>공구>포장용품>선물박스,50006878,선물박스,Fixed (Phase2)
13217761503,선물주는 산타 별상자 캔디 초콜릿 크리스마스 성탄절,,생활/건강>공구>포장용품>선물박스,50001831.0,식품 > 과자 > 초콜릿,Mismatch
13217761325,메리 크리스마스 별상자 선물 캔디 초콜릿 성탄절,,생활/건강>공구>포장용품>선물박스,50006878,선물박스,Fixed (Phase2)
13217761136,화이트 크리스마스 별상자 선물 캔디 초콜릿 성탄절,,생활/건강>공구>포장용품>선물박스,50006878,선물박스,Fixed (Phase2)
13217760945,화분 분갈이 바닥 망사(3호) 배수판 물구멍 깔망 화분깔망 화분배,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13217760766,화분 분갈이 바닥 망사(5호) 배수판 물구멍 깔망 화분깔망 화분배,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13217760573,화분 분갈이 바닥 망사(1호) 배수판 물구멍 깔망 화분깔망 화분배,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13217760360,레이스 리본 상자 레몬 선물 포장 캔디 초콜릿 쿠키 종이 박스 파스텔,,생활/건강>공구>포장용품>선물박스,50006878,선물박스,Fixed (Phase2)
13217760118,레이스 리본 상자 크라프트 선물 포장 캔디 초콜릿 쿠키 종이 박스 파스텔,,생활/건강>공구>포장용품>선물박스,50006878,선물박스,Fixed (Phase2)
13217759933,레이스 리본 상자 민트 선물 포장 캔디 초콜릿 쿠키 종이 박스 파스텔,,생활/건강>공구>포장용품>선물박스,50006878,선물박스,Fixed (Phase2)
13217759718,레이스 리본 상자 핑크 선물 포장 캔디 초콜릿 쿠키 종이 박스 파스텔,,생활/건강>공구>포장용품>선물박스,50006878,선물박스,Fixed (Phase2)
13217758918,연꽃 쥬얼리 포장 상자 쇼핑백 세트 주얼리함 악세사리 보관함 케이스 귀걸이 박스 선물,,패션잡화>주얼리>주얼리소품>보관함/케이스,50004187,보관함/케이스,Fixed (Phase2)
13217756858,파스텔 리본 머리끈 세트(5개 묶음) 곱창 헤어 슈슈 밴드 똥머리 여성 스크런치,,패션잡화>헤어액세서리>헤어핀,50000562,헤어끈,Fixed (Phase2)
13217752438,여성 러블리 라운드 모카무스 리본 홈웨어 파자마 세트,,패션의류>여성의류>티셔츠,50000803,티셔츠,Fixed (Phase2)
13217750024,12장 세트 방수 화살표 스티커 PVC 25cm12.5cm S11069,,생활/건강>문구/사무용품>스티커>다꾸스티커,1001120000.0,문구/사무용품 > 스티커/라벨 > 스티커,Mismatch
13217749795,랜덤1장 꽂는 벌레 끈끈이 날파리 벌레 트랩 화분 초파리 퇴치 접착 끈적이는 벌레 잡이,,생활/건강>생활용품>해충퇴치용품>모기채/파리채,50002694,모기채/파리채,Fixed (Phase2)
13217749584,창틀 청소솔+쓰레받기 세트 미세 틈새 청소 브러쉬 구석 창문틀 솔 먼지 제거 미니,,생활/건강>청소용품>유리닦이용품,50001845,유리닦이용품,Fixed (Phase2)
13217748404,플라스틱 사선 꽂이 연필 펜 필기구 꽂이함 브러시 정리함 보관함 탕비실 도구 수납 대,,생활/건강>문구/사무용품>필기도구>필통,50007548,필통,Fixed (Phase2)
13217739466,다용도 파라코드 생존 키링 등산 캠핑 낙하산줄 비상 도구 세트,,스포츠/레저>캠핑>텐트/타프용품>기타텐트/타프용품,50009402,기타텐트/타프용품,Fixed (Phase2)
13217730983,강력 세척 철칫솔 창틀 청소 화구 철솔 쇠솔 3종 세트 쇠 칫솔 튀김기 동 브러쉬 구리 불판 와이어 나일론,,생활/건강>청소용품>솔,50000244.0,화장품/미용 > 뷰티소품 > 메이크업브러쉬,Mismatch
13217730121,공구-드라이버 세트 (24 in 1) 정밀 드라이버 휴대용 일자 십자 별 삼각 BT111,,생활/건강>공구>전동공구>기타전동공구,50003387,공구세트,Fixed (Phase2)
13217728962,드라이버 복스연결대 8종 세트 소켓 연장 아답터 공구,,생활/건강>공구>수작업공구>렌치,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13217728223,앰플형 화분 식물 제 고급형 1각 36ml 10개 원예용품 재료 흙 석회 용토 용품 퇴비 원예,,생활/건강>정원/원예용품>화분영양제/비료,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13217727138,넥타 캔 병따개 퀸스타 와인오프너 세트 와인 통조림 조리기구 스크류,,생활/건강>주방용품>와인용품>와인오프너,50004803,와인오프너,Fixed (Phase2)
13217725402,부활절 계란 꾸미기 다꾸 스티커 2종 세트,,생활/건강>문구/사무용품>스티커>다꾸스티커,50004598,홈버튼스티커,Fixed (Phase2)
13212406933,부직포 화분 블랙 대형 상추화분 분갈이,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13212406275,이색 포트 화분 플라스틱화분 가드닝화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13212405375,부직포 화분 그레이 소형 뿌리화분 텃밭화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13212405159,플라스틱 다육이 화분 다육식물화분 포트화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13212404267,화분 급수기 자동 식물자동급수기 화분자동급수기,,생활/건강>정원/원예용품>물조리개,50003372,압축분무기,Fixed (Phase2)
13212404067,중형 부직포 화분 블랙 묘목화분 자루화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13212403827,텃밭 만들기 화분 베이지 베란다텃밭 학교텃밭,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13212403628,일본 물받이 화분 화분케이스 탁상화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13212403424,다용도 멀티 무타공 커튼봉 브라켓 2p 세트 걸이 고정 홀더 주방 압축봉 설치 거실 안방 클램프 소품 용품,,가구/인테리어>커튼/블라인드>커튼>커튼링/봉,50003516,커튼링/봉,Fixed (Phase2)
13212403202,부직포 화분 그레이 옥상화분 숨쉬는화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13212402151,드라이버 세트 6P 십자드라이버 공구드라이버,,스포츠/레저>골프>골프클럽>드라이버,50002668,드라이버,Fixed (Phase2)
13212401672,플라스틱 다육이 화분 프라스틱화분 꽃화분,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13212392087,레터링 헬스 노트북 캐리어 방수 스티커 50장 세트,,패션잡화>여행용가방/소품>캐리어소품,50005464,캐리어소품,Fixed (Phase2)
13212391521,고강도 S2스틸 드라이버 비트 세트 6pcs HA101,,생활/건강>공구>전동공구>비트세트,50003406,비트세트,Fixed (Phase2)
13212388565,T형 화분 이름표 20개 한세트,,생활/건강>정원/원예용품>원예부자재,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13207131657,전동 충전 드릴용 PH2 양면 십자 드라이버 비트 65mm 10개입 세트,,생활/건강>공구>전동공구>비트세트,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13207128467,그린드롭 2L 관수용 긴주둥이 물뿌리개 원예 화분 급수기,,생활/건강>정원/원예용품>물조리개,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13207125391,색랜덤 7x8 사각 플라스틱 화분 미니 빈화분 플분 슬릿화분 슬릿분 포트 모종화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13207122193,원형 투명 핀뱃지 보관 케이스 만들기 44mm 가방키링 세트 제작 레진공예 핀뱃지 포카키링 비즈 세트,,패션잡화>패션소품>키홀더,50000570,키홀더,Fixed (Phase2)
13207120921,원형 투명 핀뱃지 보관 케이스 만들기 58mm DIY 제작 세트 가방키링 키링만들기 핀뱃지 아크릴 세트,,패션잡화>패션소품>키홀더,50000570,키홀더,Fixed (Phase2)
13207120520,주방세제 디스펜서 싱크대 매립 펌핑형 호스 세트 대용량 싱크대 주방 통 리필 고무호스 디스펜서 펌핑용기,,생활/건강>욕실용품>욕실용기/홀더>디스펜서,50019799,테이프디스펜서,Fixed (Phase2)
13207120343,미니 금원보 나무 복주머니 재물운 개업 풍수 장식 액막이 황금 화분 집들이선물 식당 풍수소품 결혼선물,,가구/인테리어>인테리어소품>장식인형,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13207119914,캣그라스 콩나물 상추 키우기 수경재배 2단 트레이 상추 수경 캣그라스 캣잎 포트 채소 화분 재배 콩나물,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13207119662,수경재배 씨앗 발아 식물 상추 파종 스펀지 100조각 수경재배 가정용 스펀지 화분 딸기 상추 포트 딸기,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13207119409,가드닝 미니 원예도구 3종+ 반투명 미니 화분 세트 모종삽 가드닝 홈 전지가위 원예용품 다육 화분 이,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13207119242,다육이 미니식물 분갈이 가드닝 미니 원예도구 3종 가드닝 홈 모종삽 화분 분갈이용품 다육 원예용품,,생활/건강>정원/원예용품>원예부자재,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13207118660,비누 캔들 석고 방향제 만들기 실리콘 6구 장미 몰드 실리콘 베이킹 레진 석고방향제 재료 초콜릿 틀,,가구/인테리어>인테리어소품>아로마/캔들용품>초/향초,50001064,몰딩,Fixed (Phase2)
13207118404,비누 캔들 석고 방향제 재료 실리콘 6구 붕어빵 몰드 레진 초콜릿 비누만들기 베이킹 석고방향제 틀 재료,,가구/인테리어>인테리어소품>아로마/캔들용품>초/향초,50001064,몰딩,Fixed (Phase2)
13207118214,휴대용 포켓 반투명 다꾸 문구 테이프 디스펜서 세트 유리 포장 테이프 접착 리필 투명 다꾸용품 반 접착,,생활/건강>문구/사무용품>테이프>일반테이프,50007148,바테이프,Fixed (Phase2)
13207117686,투명 다꾸 꾸미기 스티커 필기구 보관함 정리 케이스 스티커 케이스 다꾸 다용도플라스틱 함 필통 용품,,생활/건강>문구/사무용품>스티커>다꾸스티커,50004598,홈버튼스티커,Fixed (Phase2)
13207117482,별의커비 슬라이드 지퍼파우치 필기구 지폐보관 파우치 다꾸스티커보관 드지 슬라이 캐릭터 폐 퍼백 딩지,,패션잡화>여성가방>파우치,50000643,파우치,Fixed (Phase2)
13207117269,(CL) 카네이션 머리띠 세트 펠트 목걸이,,출산/육아>완구/인형>미술놀이>종이접기,50006998,종이접기,Fixed (Phase2)
13207117054,향수 화장품 소분 세트 공병+깔때기+펌프디스펜서 공병 화장품 소분 깔대기 용품 미스트 용기,,화장품/미용>뷰티소품>화장품케이스,50000319,화장품케이스,Fixed (Phase2)
13207116863,뿌리파리 파리 날파리 초파리 화분 끈끈이트랩 노란끈끈이 트랩 작은뿌리파리 뿌리파리끈끈이 벌레끈끈이,,생활/건강>생활용품>해충퇴치용품>모기채/파리채,50000644,백팩,Fixed (Phase2)
13207111418,샌포드 유성 프리즈마 연필깍이 세트 72 색연필 2홀,,생활/건강>화방용품>스케치/드로잉용품>유성색연필,50003896,유성색연필,Fixed (Phase2)
13207111204,6개 흙받침 화분 분갈이깔망,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13201746866,6장 세트 고양이 스티커 다이어리 꾸미기,,가구/인테리어>DIY자재/용품>데코스티커,1001120000.0,문구/사무용품 > 스티커/라벨 > 스티커,Mismatch
13201744314,키보드 소품 화이트 블랙 기계식 키링 가방 키캡 커스텀 악세사리 세트,,패션잡화>패션소품>키홀더,50000434,기타패션소품,Fixed (Phase2)
13201743883,키보드 딸깍이 선물 블록 12개 테트리스 열쇠고리 단체 세트 디자인 키링,,패션잡화>패션소품>키홀더,122180000.0,패션잡화 > 기타패션잡화 > 키링/키홀더,Mismatch
13201743665,구성품 LED 불 대용량 들어오는 스위치 세트 키링 버튼 딸깍이 1P 투명,,패션잡화>패션소품>키홀더,50000570,키홀더,Fixed (Phase2)
13201743238,화분 자갈 아트스톤 화이트 화분돌 분갈이 데코 원예,,생활/건강>정원/원예용품>자갈/모래/흙,50001797,자갈/모래/흙,Fixed (Phase2)
13201742622,레터링 농구 노트북 캐리어 방수 스티커 50장 세트,,생활/건강>문구/사무용품>스티커>다꾸스티커,50001066,데코스티커,Fixed (Phase2)
13201734170,다육이 사각화분 미니 다크닉사각화분 1723대 화분,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13201733141,육각렌치 링 고리 세트 10pcs 키링 비트 L렌치 엘렌치 LV2512,,생활/건강>공구>수작업공구>복스,50003395,복스,Fixed (Phase2)
13196532513,목공용 금속용 드라이버 드릴 비트 세트 100개입 전문가용 JA396,,생활/건강>공구>전동공구>기타전동공구,50003417,기타전동공구,Fixed (Phase2)
13196531985,드라이버 비트 세트 63pcs JA387,,생활/건강>공구>전동공구>기타전동공구,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13196531816,공구 드라이버 세트 17 in 1 십자 일자 별 비트 정밀 드라이버 스마트폰 수리 BF451,,생활/건강>공구>전동공구>기타전동공구,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13196531664,드라이버 세트 8 in 1 다용도 멀티 공구 스크류 드라이버 비트 십자 일자 송곳 BF392,,생활/건강>공구>전동공구>기타전동공구,50002668,드라이버,Fixed (Phase2)
13196531496,드릴 드라이버 비트 세트 20PCS BF390,,생활/건강>공구>전동공구>기타전동공구,50003417,기타전동공구,Fixed (Phase2)
13196531321,드라이버 비트 세트 24 in 1 BF391,,생활/건강>공구>전동공구>기타전동공구,50002668,드라이버,Fixed (Phase2)
13196531156,30 in 1 공구 정밀 드라이버 세트 IH779,,생활/건강>공구>전동공구>기타전동공구,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13196530500,원예 화분 물뿌리개 물 조리개 물주기 3L DD-11930,,생활/건강>정원/원예용품>물조리개,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13192336427,그로우백 손잡이 통기성 꽃집 타포린 화분 35x50,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13192335119,만능 미니 드라이버 8종 세트 일자 시계 정밀 십자드라이버 안경,,생활/건강>공구>수작업공구>드라이버,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13192333854,수경 재배 포트 망포트 60 호 10개입 재배기 식물 화분,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13192333662,수경 재배 포트 망포트 50 호 10개입 재배기 식물 화분,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13192332102,수경 재배 포트 망포트 40 호 10개입 재배기 식물 화분,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
